0.901768,0.925421,0.884707,0.830282,0.877411,0.828949,0.849584,0.647189,0.648044,0.637578,0.627790,0.638851,0.610314,0.623814,0.506909,0.513713,0.506010,0.518747,0.502400,0.505129,0.493617,0.454464,0.476172,0.449920,0.443140,0.468205,0.782468,0.446126,0.421854,0.910650,0.402547,0.471218,0.424250,0.730568,0.419363
0.883929,0.891325,0.868440,0.889331,0.879617,0.810814,0.889853,0.619434,0.639308,0.629705,0.636517,0.629578,0.633296,0.632536,0.510686,0.515899,0.505680,0.503957,0.501332,0.618264,0.493175,0.444182,0.443798,0.439934,0.437135,0.446620,0.433966,0.527296,0.449716,0.540611,0.459960,0.394360,0.393435,0.394075,0.455547
0.868176,0.869386,0.886239,0.871558,0.881345,0.895727,0.878066,0.626845,0.647239,0.625485,0.647581,0.624537,0.647763,0.606611,0.536013,0.516675,0.511464,0.521586,0.506680,0.506811,0.495782,0.455298,0.446230,0.441528,0.464255,0.432114,0.433521,0.463823,0.507037,0.445541,0.521981,0.403562,0.431770,0.487111,0.457587
0.877399,0.879015,0.873530,0.917047,0.900063,0.929199,0.894250,0.624634,0.632786,0.611897,0.621021,0.622911,0.622093,0.608033,0.513241,0.511682,0.505241,0.505934,0.500444,0.507849,0.493259,0.445524,0.449176,0.438033,0.437003,0.432116,0.434565,0.428039,0.433610,0.460512,0.427554,0.475011,0.393540,0.388712,0.441042
0.851096,0.879806,0.882491,0.878754,0.863115,0.798570,0.872143,0.636830,0.637266,0.618683,0.613148,0.608657,0.614250,0.609422,0.507298,0.512101,0.522138,0.506738,0.498893,0.510621,0.493132,0.559460,0.461213,0.460408,0.464522,0.659386,0.489856,0.448467,0.411044,0.421612,0.474307,0.430149,0.477293,0.763396,0.698224
0.860510,0.881556,0.889021,0.871299,0.888959,0.870777,0.900305,0.612909,0.632464,0.623215,0.643729,0.622954,0.619959,0.615351,0.506882,0.521633,0.503411,0.505007,0.515477,0.503061,0.497168,0.502452,0.524001,0.441126,0.482865,0.609686,0.485619,0.995181,0.763714,0.590962,0.833859,0.416877,0.671694,0.482888,0.405991
0.892551,0.888602,0.817974,0.879094,0.868617,0.891200,0.886638,0.639019,0.622497,0.605581,0.633597,0.625897,0.639408,0.602091,0.509746,0.516432,0.502352,0.506253,0.499969,0.499124,0.498107,0.453198,0.443199,0.439953,0.443546,0.442365,0.439504,0.429275,0.599580,0.407346,0.585394,0.400936,0.514988,0.572860,0.413719
0.847170,0.875058,0.828564,0.873164,0.876607,0.906746,0.824978,0.619566,0.630395,0.621611,0.640478,0.604567,0.617056,0.601650,0.514164,0.517781,0.514639,0.508610,0.516915,0.505914,0.501539,0.470863,0.490846,0.450837,0.443199,0.496613,0.440490,0.502483,0.439047,0.421687,0.643147,0.446393,0.500416,0.499137,0.448624
0.897366,0.877883,0.871860,0.810455,0.865083,0.875993,0.846993,0.618913,0.622020,0.611565,0.617618,0.611404,0.608710,0.604482,0.508473,0.510439,0.512217,0.504281,0.498880,0.500505,0.494768,0.539791,0.531385,0.471162,0.449469,0.459381,0.529324,0.561180,0.991696,0.424465,0.619156,0.867250,0.477659,0.438684,0.538124
0.923491,0.919521,0.887277,0.861800,0.905480,0.921233,0.851667,0.619073,0.630061,0.629872,0.622952,0.653818,0.638455,0.626198,0.515528,0.515401,0.520277,0.504976,0.515660,0.499145,0.499650,0.471356,0.444109,0.497365,0.437285,0.432489,0.433283,0.435492,0.411389,0.406270,0.408467,0.394318,0.534983,0.391954,0.563317
